PG_name,PG_team,PG_pos,PG_salary,PG_proj,SG_name,SG_team,SG_pos,SG_salary,SG_proj,SF_name,SF_team,SF_pos,SF_salary,SF_proj,PF_name,PF_team,PF_pos,PF_salary,PF_proj,C_name,C_team,C_pos,C_salary,C_proj,G_name,G_team,G_pos,G_salary,G_proj,F_name,F_team,F_pos,F_salary,F_proj,UTIL_name,UTIL_team,UTIL_pos,UTIL_salary,UTIL_proj,team_counts,total_salary,total_proj
Jordan Goodwin,PHO,PG/SG,4400,22.6,Brandon Ingram,TOR,SG,7500,40.9,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Jalen Johnson,ATL,PF,10000,55.6,Kel&#x27;el Ware,MIA,C,6200,38.9,Immanuel Quickley,TOR,PG,6400,37.0,Bobby Portis,MIL,C/PF,5900,35.2,Moussa Diabate,CHA,C,4600,29.5,PHO:2; TOR:2; ATL:1; CHA:1; MIA:1; MIL:1,49800,285.8
Immanuel Quickley,TOR,PG,6400,37.0,Desmond Bane,ORL,SG,7700,40.4,Norman Powell,MIA,SF/SG,7100,40.2,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Collin Gillespie,PHO,PG/SG,6400,34.0,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; CHA:1; MIL:1; ORL:1; PHO:1,49800,285.8
Collin Gillespie,PHO,PG/SG,6400,34.0,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Andrew Nembhard,IND,PG,6100,31.6,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; PHO:2; ATL:1; CHA:1; IND:1; MIL:1,50000,285.3
Immanuel Quickley,TOR,PG,6400,37.0,Collin Gillespie,PHO,PG/SG,6400,34.0,Kyle Kuzma,MIL,PF/SF,5400,29.6,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Kel&#x27;el Ware,MIA,C,6200,38.9,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; PHO:2; ATL:1; CHA:1; MIL:1; TOR:1,49800,285.1
Jordan Goodwin,PHO,PG/SG,4400,22.6,Norman Powell,MIA,SF/SG,7100,40.2,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Jalen Johnson,ATL,PF,10000,55.6,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Immanuel Quickley,TOR,PG,6400,37.0,Bobby Portis,MIL,C/PF,5900,35.2,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; MIL:1; PHO:1,49900,285.1
Immanuel Quickley,TOR,PG,6400,37.0,Jordan Goodwin,PHO,PG/SG,4400,22.6,Dillon Brooks,PHO,PF/SF,6300,31.8,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; PHO:2; ATL:1; CHA:1; MIL:1; TOR:1,49800,285.0
Immanuel Quickley,TOR,PG,6400,37.0,Norman Powell,MIA,SF/SG,7100,40.2,Kyle Kuzma,MIL,PF/SF,5400,29.6,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Kel&#x27;el Ware,MIA,C,6200,38.9,Andrew Nembhard,IND,PG,6100,31.6,Paolo Banchero,ORL,PF,8700,47.3,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; CHA:1; IND:1; MIL:1; ORL:1,50000,284.7
Andrew Nembhard,IND,PG,6100,31.6,Devin Booker,PHO,PG/SG,8900,46.1,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Immanuel Quickley,TOR,PG,6400,37.0,Norman Powell,MIA,SF/SG,7100,40.2,Moussa Diabate,CHA,C,4600,29.5,MIA:2; PHO:2; CHA:1; IND:1; MIL:1; TOR:1,50000,284.6
Immanuel Quickley,TOR,PG,6400,37.0,Norman Powell,MIA,SF/SG,7100,40.2,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Scottie Barnes,TOR,PF,8500,45.2,Mark Williams,PHO,C,5400,31.5,Andrew Nembhard,IND,PG,6100,31.6,Bobby Portis,MIL,C/PF,5900,35.2,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; CHA:1; IND:1; MIL:1; PHO:1,50000,284.6
Immanuel Quickley,TOR,PG,6400,37.0,Collin Gillespie,PHO,PG/SG,6400,34.0,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Andrew Wiggins,MIA,PF,5700,32.5,Bobby Portis,MIL,C/PF,5900,35.2,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; PHO:2; ATL:1; CHA:1; MIL:1; TOR:1,49800,284.3
Immanuel Quickley,TOR,PG,6400,37.0,Jordan Poole &nbsp;Q,NO,PG/SG,5400,26.2,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Kel&#x27;el Ware,MIA,C,6200,38.9,Norman Powell,MIA,SF/SG,7100,40.2,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; NO:1; PHO:1,50000,284.1
Jeremiah Fears,NO,PG,4900,24.1,Collin Gillespie,PHO,PG/SG,6400,34.0,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Kel&#x27;el Ware,MIA,C,6200,38.9,Immanuel Quickley,TOR,PG,6400,37.0,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; NO:1; PHO:1,50000,284.1
Jeremiah Fears,NO,PG,4900,24.1,Collin Gillespie,PHO,PG/SG,6400,34.0,Norman Powell,MIA,SF/SG,7100,40.2,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Immanuel Quickley,TOR,PG,6400,37.0,Scottie Barnes,TOR,PF,8500,45.2,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; CHA:1; MIL:1; NO:1; PHO:1,50000,284.1
Collin Gillespie,PHO,PG/SG,6400,34.0,Norman Powell,MIA,SF/SG,7100,40.2,Kyle Kuzma,MIL,PF/SF,5400,29.6,Jalen Johnson,ATL,PF,10000,55.6,Kel&#x27;el Ware,MIA,C,6200,38.9,Immanuel Quickley,TOR,PG,6400,37.0,Collin Murray-Boyles &nbsp;Q,TOR,C/PF,3800,19.2,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; MIL:1; PHO:1,49900,284.0
Immanuel Quickley,TOR,PG,6400,37.0,Norman Powell,MIA,SF/SG,7100,40.2,Kyle Kuzma,MIL,PF/SF,5400,29.6,Jalen Johnson,ATL,PF,10000,55.6,Kel&#x27;el Ware,MIA,C,6200,38.9,Jordan Goodwin,PHO,PG/SG,4400,22.6,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; MIL:1; PHO:1,49600,284.0
Davion Mitchell,MIA,PG,5200,27.6,Collin Gillespie,PHO,PG/SG,6400,34.0,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Immanuel Quickley,TOR,PG,6400,37.0,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; PHO:2; ATL:1; CHA:1; MIL:1; TOR:1,49500,283.9
Immanuel Quickley,TOR,PG,6400,37.0,Collin Gillespie,PHO,PG/SG,6400,34.0,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Jalen Johnson,ATL,PF,10000,55.6,Bobby Portis,MIL,C/PF,5900,35.2,Davion Mitchell,MIA,PG,5200,27.6,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; MIL:1; PHO:1,50000,283.9
Immanuel Quickley,TOR,PG,6400,37.0,Devin Booker,PHO,PG/SG,8900,46.1,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Desmond Bane,ORL,SG,7700,40.4,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Moussa Diabate,CHA,C,4600,29.5,PHO:2; TOR:2; CHA:1; MIA:1; MIL:1; ORL:1,50000,283.8
Immanuel Quickley,TOR,PG,6400,37.0,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Royce O&#x27;Neale,PHO,PF/SF,4800,26.1,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Kel&#x27;el Ware,MIA,C,6200,38.9,Andrew Nembhard,IND,PG,6100,31.6,Jalen Johnson,ATL,PF,10000,55.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; IND:1; PHO:1,49600,283.7
Immanuel Quickley,TOR,PG,6400,37.0,Collin Gillespie,PHO,PG/SG,6400,34.0,Jaime Jaquez Jr.,MIA,SF/SG,6000,34.4,Bobby Portis,MIL,C/PF,5900,35.2,Kel&#x27;el Ware,MIA,C,6200,38.9,Trae Young,ATL,PG,8800,44.1,Sandro Mamukelashvili,TOR,C/PF,5500,30.6,Moussa Diabate,CHA,C,4600,29.5,MIA:2; TOR:2; ATL:1; CHA:1; MIL:1; PHO:1,49800,283.7
